"","Pos","No","Driver","Nat","Team","Laps","Time","Gap","Interval","Kph","Best","Lap","gp_name","year"
"1","1","101","Alberto Ascari","Italy","Scuderia Ferrari","","10:04.400","","","135.863","","","german-grand-prix",1952
"2","2","102","Nino Farina","Italy","Scuderia Ferrari","","10:07.300","+ 2.900","+ 2.900","135.214","","","german-grand-prix",1952
"3","3","109","Maurice Trintignant","France","Equipe Gordini","","10:19.100","+ 14.700","+ 11.800","132.637","","","german-grand-prix",1952
"4","4","107","Robert Manzon","France","Equipe Gordini","","10:25.300","+ 20.900","+ 6.200","131.322","","","german-grand-prix",1952
"5","5","103","Piero Taruffi","Italy","Scuderia Ferrari","","10:26.300","+ 21.900","+ 1.000","131.112","","","german-grand-prix",1952
"6","6","117","RudI Fischer","Switzerland","Ecurie Espadon","","10:41.900","+ 37.500","+ 15.600","127.926","","","german-grand-prix",1952
"7","7","127","Paul Pietsch","Germany","Motor Press Verlag","","10:56.300","+ 51.900","+ 14.400","125.119","","","german-grand-prix",1952
"8","8","128","Hans Klenk","Germany","Hans Klenk","","","","","","","","german-grand-prix",1952
"9","9","123","Willi Heeks","Germany","Willi Heeks","","","","","","","","german-grand-prix",1952
"10","10","105","Felice Bonetto","Italy","Officine Alfieri Maserati","","","","","","","","german-grand-prix",1952
"11","11","108","Jean Behra","France","Equipe Gordini","","","","","","","","german-grand-prix",1952
"12","12","121","Fritz Riess","Germany","Fritz Riess","","","","","","","","german-grand-prix",1952
"13","13","112","Paul Frere","Belgium","HW Motors","","","","","","","","german-grand-prix",1952
"14","14","120","Tony Gaze","Australia","Tony Gaze","","","","","","","","german-grand-prix",1952
"15","15","125","Toni Ulmen","Germany","Toni Ulmen","","","","","","","","german-grand-prix",1952
"16","16","115","Gino Bianco","Brazil","Escuderia Bandeirantes","","","","","","","","german-grand-prix",1952
"17","17","119","Roger Laurent","Great Britain","Ecurie Francorchamps","","","","","","","","german-grand-prix",1952
"18","18","122","Theo Helfrich","Germany","Theo Helfrich","","","","","","","","german-grand-prix",1952
"19","19","126","Adolf Brudes","Germany","Adolf Brudes","","","","","","","","german-grand-prix",1952
"20","20","129","Josef Peters","Germany","Josef Peters","","","","","","","","german-grand-prix",1952
"21","21","114","Bill Aston","Great Britain","W S Aston","","","","","","","","german-grand-prix",1952
"22","22","124","Helmut Niedermayr","Germany","Helmut Niedermayr","","","","","","","","german-grand-prix",1952
"23","23","136","Rudolf Krause","Germany","Rudolf Krause","","","","","","","","german-grand-prix",1952
"24","24","118","Rudolf Schoeller","Switzerland","Ecurie Espadon","","","","","","","","german-grand-prix",1952
"25","25","110","Marcel Balsa","France","Marcel Balsa","","","","","","","","german-grand-prix",1952
"26","26","116","Eitel Cantoni","Uruguay","Escuderia Bandeirantes","","","","","","","","german-grand-prix",1952
"27","27","104","Piero Carini","Italy","Scuderia Marzotto","","","","","","","","german-grand-prix",1952
"28","28","133","Willi Krakau","Switzerland","Willi Krakau","","","","","","","","german-grand-prix",1952
"29","29","135","Ernst Klodwig","Germany","Ernst Klodwig","","","","","","","","german-grand-prix",1952
"30","30","130","Günther Bechem","Germany","Bernd Nacke","","","","","","","","german-grand-prix",1952
"31","31","131","Ludwig Fischer","Germany","Ludwig Fischer","","","","","","","","german-grand-prix",1952
"32","32","113","Johnny Claes","Belgium","HW Motors","","","","","","","","german-grand-prix",1952
"33","1","28","Nino Farina","Italy","Scuderia Ferrari","","2:47.500","","","","","","swiss-grand-prix",1952
"34","2","30","Piero Taruffi","Italy","Scuderia Ferrari","","2:50.100","+ 2.600","+ 2.600","","","","swiss-grand-prix",1952
"35","3","8","Robert Manzon","France","Equipe Gordini","","2:52.100","+ 4.600","+ 2.000","","","","swiss-grand-prix",1952
"36","4","32","Andre Simon","France","Scuderia Ferrari","","2:52.400","+ 4.900","+ 0.300","","","","swiss-grand-prix",1952
"37","5","42","RudI Fischer","Switzerland","Ecurie Espadon","","2:53.300","+ 5.800","+ 0.900","","","","swiss-grand-prix",1952
"38","6","18","Peter Collins","Great Britain","HW Motors","","2:55.900","+ 8.400","+ 2.600","","","","swiss-grand-prix",1952
"39","7","6","Jean Behra","France","Equipe Gordini","","2:55.900","+ 8.400","+ 2.600","","","","swiss-grand-prix",1952
"40","8","38","Emmanuel de Graffenried","Switzerland","Scuderia Enrico Platé","","2:56.400","+ 8.900","+ 0.500","","","","swiss-grand-prix",1952
"41","9","46","Stirling Moss","Great Britain","HW Motors","","2:56.400","+ 8.900","","","","","swiss-grand-prix",1952
"42","10","16","George Abecassis","Great Britain","HW Motors","","2:56.900","+ 9.400","+ 0.500","","","","swiss-grand-prix",1952
"43","11","10","Prince Bira","Thailand","Equipe Gordini","","2:59.300","+ 11.800","+ 2.400","","","","swiss-grand-prix",1952
"44","12","20","Lance Macklin","Great Britain","HW Motors","","3:00.200","+ 12.700","+ 0.900","","","","swiss-grand-prix",1952
"45","13","22","Ken Wharton","Great Britain","Scuderia Franera","","3:00.900","+ 13.400","+ 0.700","","","","swiss-grand-prix",1952
"46","14","2","Hans Von Stuck","Germany","AFM","","3:01.700","+ 14.200","+ 0.800","","","","swiss-grand-prix",1952
"47","15","26","Alan Brown","Great Britain","Ecurie Richmond","","3:02.500","+ 15.000","+ 0.800","","","","swiss-grand-prix",1952
"48","16","4","Toni Ulmen","Germany","Toni Ulmen","","3:05.600","+ 18.100","+ 3.100","","","","swiss-grand-prix",1952
"49","17","24","Eric Brandon","Great Britain","Ecurie Richmond","","3:05.800","+ 18.300","+ 0.200","","","","swiss-grand-prix",1952
"50","18","40","Harry Schell","USA","Scuderia Enrico Platé","","3:07.600","+ 20.100","+ 1.800","","","","swiss-grand-prix",1952
"51","19","44","Peter Hirt","Switzerland","Ecurie Espadon","","3:10.200","+ 22.700","+ 2.600","","","","swiss-grand-prix",1952
"52","20","12","Louis Rosier","France","Ecurie Rosier","","","","","","","","swiss-grand-prix",1952
"53","21","50","Max de Terra","Switzerland","Alfred Dattner","","","","","","","","swiss-grand-prix",1952
"54","22","14","Maurice Trintignant","France","Ecurie Rosier","","","","","","","","swiss-grand-prix",1952
"55","1","28","Fred Agabashian","USA","Cummins Engine Co","","4:20.850","+ 1.920","+ 0.380","","","","indianapolis-500",1952
"56","2","9","Andy Linden","USA","Hart Fullerton","","4:22.770","+ 1.920","+ 1.920","","","","indianapolis-500",1952
"57","3","4","Jack McGrath","USA","Jack B Hinkle","","4:23.420","+ 2.570","+ 0.650","","","","indianapolis-500",1952
"58","4","36","Duke Nalon","USA","Lewis W Welch","","4:24.340","+ 3.490","+ 0.920","","","","indianapolis-500",1952
"59","5","18","Sam Hanks","USA","Ed Walsh","","4:25.220","+ 4.370","+ 0.880","","","","indianapolis-500",1952
"60","6","1","Duane Carter","USA","Murrell Belanger","","4:25.640","+ 4.790","+ 0.420","","","","indianapolis-500",1952
"61","7","98","Troy Ruttman","USA","J C Agajanian","","4:25.950","+ 5.100","+ 0.310","","","","indianapolis-500",1952
"62","8","26","Bill Vukovich","USA","Howard Keck Co","","4:20.470","+ 1.540","+ 1.540","","","","indianapolis-500",1952
"63","9","22","Cliff Griffith","USA","Tom Sarafoff","","4:23.510","+ 2.660","+ 3.040","","","","indianapolis-500",1952
"64","10","59","Jim Rathmann","USA","Grancor Auto Specialists","","4:24.040","+ 3.190","+ 0.530","","","","indianapolis-500",1952
"65","11","16","Chuck Stevenson","USA","Bessie Lee Paoli","","4:24.430","+ 3.580","+ 0.390","","","","indianapolis-500",1952
"66","12","2","Henry Banks","USA","Lindsey Hopkins","","4:24.780","+ 3.930","+ 0.350","","","","indianapolis-500",1952
"67","13","65","George Fonder","USA","George H Leitenberger","","4:24.810","+ 3.960","+ 0.030","","","","indianapolis-500",1952
"68","14","54","George Connor","USA","Federal Auto Associates","","4:25.470","+ 4.620","+ 0.660","","","","indianapolis-500",1952
"69","15","7","Bill Schindler","USA","H A Chapman","","4:26.690","+ 5.840","+ 1.220","","","","indianapolis-500",1952
"70","16","14","Joe James","USA","Ed Walsh","","4:26.760","+ 5.910","+ 0.070","","","","indianapolis-500",1952
"71","17","55","Bobby Ball","USA","Rotary Engineering Corp","","4:27.210","+ 6.360","+ 0.450","","","","indianapolis-500",1952
"72","18","67","Gene Hartley","USA","Mel B Wiggers","","4:27.970","+ 7.120","+ 0.760","","","","indianapolis-500",1952
"73","19","12","Alberto Ascari","Italy","Scuderia Ferrari","","4:28.040","+ 7.190","+ 0.070","","","","indianapolis-500",1952
"74","20","33","Art Cross","USA","Ray T Brady","","4:28.080","+ 7.230","+ 0.040","","","","indianapolis-500",1952
"75","21","77","Jimmy Bryan","USA","Peter Schmidt","","4:28.370","+ 7.520","+ 0.290","","","","indianapolis-500",1952
"76","22","34","Rodger Ward","USA","Federal Auto Associates","","4:28.380","+ 7.530","+ 0.010","","","","indianapolis-500",1952
"77","23","37","Jimmy Reece","USA","John Zink","","4:28.670","+ 7.820","+ 0.290","","","","indianapolis-500",1952
"78","24","81","Eddie Johnson","USA","Pete Salemi","","4:28.710","+ 7.860","+ 0.040","","","","indianapolis-500",1952
"79","25","93","Bob Scott","USA","Ludson D Morris","","4:28.750","+ 7.900","+ 0.040","","","","indianapolis-500",1952
"80","26","29","Jim Rigsby","USA","Bob Estes","","4:28.850","+ 8.000","+ 0.100","","","","indianapolis-500",1952
"81","27","21","Chet Miller","USA","Lewis W Welch","","4:18.930","","","","","","indianapolis-500",1952
"82","28","8","Manny Ayulo","USA","Coast Grain Co","","4:24.740","+ 3.890","+ 5.810","","","","indianapolis-500",1952
"83","29","48","Spider Webb","USA","Vincent Granatelli","","4:24.780","+ 3.930","+ 0.040","","","","indianapolis-500",1952
"84","30","27","Tony Bettenhausen","USA","Earl F Slick","","4:25.910","+ 5.060","+ 1.130","","","","indianapolis-500",1952
"85","31","5","Johnnie Parsons","USA","Jim Robbins","","4:26.020","+ 5.170","+ 0.110","","","","indianapolis-500",1952
"86","32","73","Bob Sweikert","USA","Lee Elkins","","4:26.700","+ 5.850","+ 0.680","","","","indianapolis-500",1952
"87","33","31","Johnny McDowell","USA","Roger Wolcott","","4:28.780","+ 7.930","+ 2.080","","","","indianapolis-500",1952
"88","1","4","Alberto Ascari","Italy","Scuderia Ferrari","","4:37.000","","","","","","belgian-grand-prix",1952
"89","2","2","Nino Farina","Italy","Scuderia Ferrari","","4:40.000","+ 3.000","+ 3.000","","","","belgian-grand-prix",1952
"90","3","6","Piero Taruffi","Italy","Scuderia Ferrari","","4:46.000","+ 9.000","+ 6.000","","","","belgian-grand-prix",1952
"91","4","14","Robert Manzon","France","Equipe Gordini","","4:52.000","+ 15.000","+ 6.000","","","","belgian-grand-prix",1952
"92","5","16","Jean Behra","France","Equipe Gordini","","4:56.000","+ 19.000","+ 4.000","","","","belgian-grand-prix",1952
"93","6","8","Mike Hawthorn","Great Britain","Leslie Hawthorn","","4:58.000","+ 21.000","+ 2.000","","","","belgian-grand-prix",1952
"94","7","36","Ken Wharton","Great Britain","Scuderia Franera","","5:01.000","+ 24.000","+ 3.000","","","","belgian-grand-prix",1952
"95","8","28","Paul Frere","Belgium","HW Motors","","5:05.000","+ 28.000","+ 4.000","","","","belgian-grand-prix",1952
"96","9","10","Alan Brown","Great Britain","Ecurie Richmond","","5:07.000","+ 30.000","+ 2.000","","","","belgian-grand-prix",1952
"97","10","32","Stirling Moss","Great Britain","ERA","","5:08.000","+ 31.000","+ 1.000","","","","belgian-grand-prix",1952
"98","11","26","Peter Collins","Great Britain","HW Motors","","5:09.000","+ 32.000","+ 1.000","","","","belgian-grand-prix",1952
"99","12","12","Eric Brandon","Great Britain","Ecurie Richmond","","5:12.000","+ 35.000","+ 3.000","","","","belgian-grand-prix",1952
"100","13","34","Charles de Tornaco","Belgium","Ecurie Francorchamps","","5:13.000","+ 36.000","+ 1.000","","","","belgian-grand-prix",1952
"101","14","24","Lance Macklin","Great Britain","HW Motors","","5:15.000","+ 38.000","+ 2.000","","","","belgian-grand-prix",1952
"102","15","40","Robin Montgomerie-Charrington","Great Britain","Robin Montgomerie-Charrington","","5:19.000","+ 42.000","+ 4.000","","","","belgian-grand-prix",1952
"103","16","42","Tony Gaze","Australia","Tony Gaze","","5:20.000","+ 43.000","+ 1.000","","","","belgian-grand-prix",1952
"104","17","22","Louis Rosier","France","Ecurie Rosier","","5:23.000","+ 46.000","+ 3.000","","","","belgian-grand-prix",1952
"105","18","20","Prince Bira","Thailand","Equipe Gordini","","5:29.000","+ 52.000","+ 6.000","","","","belgian-grand-prix",1952
"106","19","18","Johnny Claes","Belgium","Equipe Gordini","","5:33.000","+ 56.000","+ 4.000","","","","belgian-grand-prix",1952
"107","20","30","Roger Laurent","Great Britain","HW Motors","","5:35.000","+ 58.000","+ 2.000","","","","belgian-grand-prix",1952
"108","21","38","Arthur Legat","Belgium","Arthur Legat","","5:37.000","+ 1:00.000","+ 2.000","","","","belgian-grand-prix",1952
"109","22","44","Robert O'Brien","USA","Robert OBrien","","6:00.000","+ 1:23.000","+ 23.000","","","","belgian-grand-prix",1952
"110","1","16","Nino Farina","Italy","Scuderia Ferrari","","1:50.000","","","","","","british-grand-prix",1952
"111","2","15","Alberto Ascari","Italy","Scuderia Ferrari","","1:50.000","","","","","","british-grand-prix",1952
"112","3","17","Piero Taruffi","Italy","Scuderia Ferrari","","1:53.000","+ 3.000","+ 3.000","","","","british-grand-prix",1952
"113","4","24","Robert Manzon","France","Equipe Gordini","","1:55.000","+ 5.000","+ 2.000","","","","british-grand-prix",1952
"114","5","4","Ken Downing","Great Britain","Connaught Engineering","","1:56.000","+ 6.000","+ 1.000","","","","british-grand-prix",1952
"115","6","8","Reg Parnell","Great Britain","Archie Bryde","","1:56.000","+ 6.000","","","","","british-grand-prix",1952
"116","7","9","Mike Hawthorn","Great Britain","Leslie Hawthorn","","1:56.000","+ 6.000","","","","","british-grand-prix",1952
"117","8","6","Dennis Poore","Great Britain","Connaught Engineering","","1:56.000","+ 6.000","","","","","british-grand-prix",1952
"118","9","5","Eric Thompson","Great Britain","Connaught Engineering","","1:57.000","+ 7.000","+ 1.000","","","","british-grand-prix",1952
"119","10","26","Prince Bira","Thailand","Equipe Gordini","","1:57.000","+ 7.000","+ 1.000","","","","british-grand-prix",1952
"120","11","30","Duncan Hamilton","Great Britain","HW Motors","","1:57.000","+ 7.000","","","","","british-grand-prix",1952
"121","12","1","Graham Whitehead","Great Britain","Peter Whitehead","","1:58.000","+ 8.000","+ 1.000","","","","british-grand-prix",1952
"122","13","11","Alan Brown","Great Britain","Ecurie Richmond","","1:58.000","+ 8.000","","","","","british-grand-prix",1952
"123","14","29","Peter Collins","Great Britain","HW Motors","","1:58.000","+ 8.000","","","","","british-grand-prix",1952
"124","15","19","RudI Fischer","Switzerland","Ecurie Espadon","","1:58.000","+ 8.000","+ 1.000","","","","british-grand-prix",1952
"125","16","12","Stirling Moss","Great Britain","ERA","","1:59.000","+ 9.000","+ 1.000","","","","british-grand-prix",1952
"126","17","3","Kenneth McAlpine","Great Britain","Connaught Engineering","","2:00.000","+ 10.000","+ 1.000","","","","british-grand-prix",1952
"127","18","10","Eric Brandon","Great Britain","Ecurie Richmond","","2:00.000","+ 10.000","","","","","british-grand-prix",1952
"128","19","14","Roy Salvadori","Great Britain","G Caprara","","2:00.000","+ 10.000","+ 1.000","","","","british-grand-prix",1952
"129","20","21","Peter Whitehead","Great Britain","Peter Whitehead","","2:00.000","+ 10.000","","","","","british-grand-prix",1952
"130","21","25","Maurice Trintignant","France","Equipe Gordini","","2:00.000","+ 10.000","","","","","british-grand-prix",1952
"131","22","7","David Murray","Great Britain","Ecurie Ecosse","","2:02.000","+ 12.000","+ 2.000","","","","british-grand-prix",1952
"132","23","27","Johnny Claes","Belgium","Ecurie Belge","","2:02.000","+ 12.000","","","","","british-grand-prix",1952
"133","24","20","Peter Hirt","Switzerland","Ecurie Espadon","","2:03.000","+ 13.000","+ 1.000","","","","british-grand-prix",1952
"134","25","23","Tony Crook","Great Britain","Tony Crook","","2:03.000","+ 13.000","","","","","british-grand-prix",1952
"135","26","28","Tony Gaze","Australia","Tony Gaze","","2:05.000","+ 15.000","+ 2.000","","","","british-grand-prix",1952
"136","27","35","Eitel Cantoni","Uruguay","Escuderia Bandeirantes","","2:06.000","+ 16.000","+ 1.000","","","","british-grand-prix",1952
"137","28","34","Gino Bianco","Brazil","Escuderia Bandeirantes","","2:07.000","+ 17.000","+ 1.000","","","","british-grand-prix",1952
"138","29","31","Lance Macklin","Great Britain","HW Motors","","2:08.000","+ 18.000","+ 1.000","","","","british-grand-prix",1952
"139","30","2","Bill Aston","Great Britain","W S Aston","","3:28.000","+ 1:38.000","+ 1:20.000","","","","british-grand-prix",1952
"140","31","32","Emmanuel de Graffenried","Switzerland","Scuderia Enrico Platé","","","","","","","","british-grand-prix",1952
"141","32","33","Harry Schell","USA","Scuderia Enrico Platé","","","","","","","","british-grand-prix",1952
"142","1","2","Alberto Ascari","Italy","Scuderia Ferrari","","1:46.500","","","","","","dutch-grand-prix",1952
"143","2","4","Nino Farina","Italy","Scuderia Ferrari","","1:48.600","+ 2.100","+ 2.100","","","","dutch-grand-prix",1952
"144","3","32","Mike Hawthorn","Great Britain","Leslie Hawthorn","","1:51.600","+ 5.100","+ 3.000","","","","dutch-grand-prix",1952
"145","4","6","Luigi Villoresi","Italy","Scuderia Ferrari","","1:51.800","+ 5.300","+ 0.200","","","","dutch-grand-prix",1952
"146","5","12","Maurice Trintignant","France","Equipe Gordini","","1:53.000","+ 6.500","+ 1.200","","","","dutch-grand-prix",1952
"147","6","8","Jean Behra","France","Equipe Gordini","","1:54.500","+ 8.000","+ 1.500","","","","dutch-grand-prix",1952
"148","7","34","Ken Wharton","Great Britain","Scuderia Franera","","1:54.700","+ 8.200","+ 0.200","","","","dutch-grand-prix",1952
"149","8","10","Robert Manzon","France","Equipe Gordini","","1:54.800","+ 8.300","+ 0.100","","","","dutch-grand-prix",1952
"150","9","26","Lance Macklin","Great Britain","HW Motors","","1:55.200","+ 8.700","+ 0.400","","","","dutch-grand-prix",1952
"151","10","28","Duncan Hamilton","Great Britain","HW Motors","","1:55.800","+ 9.300","+ 0.600","","","","dutch-grand-prix",1952
"152","11","14","Paul Frere","Belgium","Ecurie Belge","","1:58.200","+ 11.700","+ 2.400","","","","dutch-grand-prix",1952
"153","12","18","Gino Bianco","Brazil","Escuderia Bandeirantes","","1:58.200","+ 11.700","+ 2.400","","","","dutch-grand-prix",1952
"154","13","22","Ken Downing","Great Britain","Ken Downing","","1:58.600","+ 12.100","+ 0.400","","","","dutch-grand-prix",1952
"155","14","30","Dries van der Lof","Netherlands","HW Motors","","1:59.400","+ 12.900","+ 0.800","","","","dutch-grand-prix",1952
"156","15","20","Jan Flinterman","Netherlands","Escuderia Bandeirantes","","2:01.800","+ 15.300","+ 2.400","","","","dutch-grand-prix",1952
"157","16","16","Chico Landi","Brazil","Escuderia Bandeirantes","","2:02.100","+ 15.600","+ 0.300","","","","dutch-grand-prix",1952
"158","17","24","Charles de Tornaco","Belgium","Ecurie Francorchamps","","2:03.700","+ 17.200","+ 1.600","","","","dutch-grand-prix",1952
"159","18","36","Stirling Moss","Great Britain","ERA","","","","","","","","dutch-grand-prix",1952
"160","1","12","Alberto Ascari","Italy","Scuderia Ferrari","","2:05.700","","","180.429","","","italian-grand-prix",1952
"161","2","16","Luigi Villoresi","Italy","Scuderia Ferrari","","2:06.600","+ 0.900","+ 0.900","179.146","","","italian-grand-prix",1952
"162","3","10","Nino Farina","Italy","Scuderia Ferrari","","2:07.000","+ 1.300","+ 0.400","178.582","","","italian-grand-prix",1952
"163","4","4","Maurice Trintignant","France","Equipe Gordini","","2:07.200","+ 1.500","+ 0.200","178.301","","","italian-grand-prix",1952
"164","5","26","Jose Froilan Gonzalez","Argentina","Officine Alfieri Maserati","","2:07.600","+ 1.900","+ 0.400","177.742","","","italian-grand-prix",1952
"165","6","14","Piero Taruffi","Italy","Scuderia Ferrari","","2:07.800","+ 2.100","+ 0.200","177.464","","","italian-grand-prix",1952
"166","7","2","Robert Manzon","France","Equipe Gordini","","2:08.200","+ 2.500","+ 0.400","176.911","","","italian-grand-prix",1952
"167","8","8","Andre Simon","France","Scuderia Ferrari","","2:09.100","+ 3.400","+ 0.900","175.677","","","italian-grand-prix",1952
"168","9","32","Stirling Moss","Great Britain","Connaught Engineering","","2:09.800","+ 4.100","+ 0.700","174.730","","","italian-grand-prix",1952
"169","10","34","Elie Bayol","France","Elie Bayol","","2:10.600","+ 4.900","+ 0.800","173.660","","","italian-grand-prix",1952
"170","11","6","Jean Behra","France","Equipe Gordini","","2:10.800","+ 5.100","+ 0.200","173.394","","","italian-grand-prix",1952
"171","12","42","Mike Hawthorn","Great Britain","Leslie Hawthorn","","2:11.200","+ 5.500","+ 0.400","172.865","","","italian-grand-prix",1952
"172","13","22","Felice Bonetto","Italy","Officine Alfieri Maserati","","2:11.600","+ 5.900","+ 0.400","172.340","","","italian-grand-prix",1952
"173","14","18","RudI Fischer","Switzerland","Ecurie Espadon","","2:11.800","+ 6.100","+ 0.200","172.078","","","italian-grand-prix",1952
"174","15","40","Ken Wharton","Great Britain","Scuderia Franera","","2:12.200","+ 6.500","+ 0.400","171.558","","","italian-grand-prix",1952
"175","16","24","Franco Rol","Italy","Officine Alfieri Maserati","","2:12.700","+ 7.000","+ 0.500","170.911","","","italian-grand-prix",1952
"176","17","62","Louis Rosier","France","Ecurie Rosier","","2:12.700","+ 7.000","","170.911","","","italian-grand-prix",1952
"177","18","48","Chico Landi","Brazil","Escuderia Bandeirantes","","2:13.000","+ 7.300","+ 0.300","170.526","","","italian-grand-prix",1952
"178","19","30","Dennis Poore","Great Britain","Connaught Engineering","","2:14.000","+ 8.300","+ 1.000","169.253","","","italian-grand-prix",1952
"179","20","36","Eric Brandon","Great Britain","Ecurie Richmond","","2:14.000","+ 8.300","","169.253","","","italian-grand-prix",1952
"180","21","38","Alan Brown","Great Britain","Ecurie Richmond","","2:15.000","+ 9.300","+ 1.000","168.000","","","italian-grand-prix",1952
"181","22","28","Kenneth McAlpine","Great Britain","Connaught Engineering","","2:15.100","+ 9.400","+ 0.100","167.875","","","italian-grand-prix",1952
"182","23","50","Eitel Cantoni","Uruguay","Escuderia Bandeirantes","","2:15.900","+ 10.200","+ 0.800","166.887","","","italian-grand-prix",1952
"183","24","46","Gino Bianco","Brazil","Escuderia Bandeirantes","","2:17.100","+ 11.400","+ 1.200","165.426","","","italian-grand-prix",1952
"184","25","70","Charles de Tornaco","Belgium","Ecurie Francorchamps","","2:17.500","+ 11.800","+ 0.400","164.945","","","italian-grand-prix",1952
"185","26","58","Alberto Crespo","Argentina","Enrico Plate","","2:17.800","+ 12.100","+ 0.300","164.586","","","italian-grand-prix",1952
"186","27","60","Emmanuel de Graffenried","Switzerland","Enrico Plate","","2:18.400","+ 12.700","+ 0.600","163.872","","","italian-grand-prix",1952
"187","28","54","Peter Collins","Great Britain","HW Motors","","2:18.600","+ 12.900","+ 0.200","163.636","","","italian-grand-prix",1952
"188","29","68","Peter Whitehead","Great Britain","Peter Whitehead","","2:18.800","+ 13.100","+ 0.200","163.400","","","italian-grand-prix",1952
"189","30","56","Tony Gaze","Australia","Tony Gaze","","2:20.300","+ 14.600","+ 1.500","161.653","","","italian-grand-prix",1952
"190","31","64","Bill Aston","Great Britain","W S Aston","","2:20.700","+ 15.000","+ 0.400","161.194","","","italian-grand-prix",1952
"191","32","52","Lance Macklin","Great Britain","HW Motors","","2:21.000","+ 15.300","+ 0.300","160.851","","","italian-grand-prix",1952
"192","33","20","Hans Von Stuck","Germany","Ecurie Espadon","","2:22.800","+ 17.100","+ 1.800","158.823","","","italian-grand-prix",1952
"193","34","44","Piero Dusio","Italy","Piero Dusio","","","","","","","","italian-grand-prix",1952
"194","35","66","Johnny Claes","Belgium","Vickomtesse de Walckiers","","","","","","","","italian-grand-prix",1952
"195","1","8","Alberto Ascari","Italy","Scuderia Ferrari","","2:14.800","","","","","","french-grand-prix",1952
"196","2","10","Nino Farina","Italy","Scuderia Ferrari","","2:16.200","+ 1.400","+ 1.400","","","","french-grand-prix",1952
"197","3","12","Piero Taruffi","Italy","Scuderia Ferrari","","2:17.100","+ 2.300","+ 0.900","","","","french-grand-prix",1952
"198","4","4","Jean Behra","France","Equipe Gordini","","2:19.300","+ 4.500","+ 2.200","","","","french-grand-prix",1952
"199","5","2","Robert Manzon","France","Equipe Gordini","","2:20.400","+ 5.600","+ 1.100","","","","french-grand-prix",1952
"200","6","44","Maurice Trintignant","France","Equipe Gordini","","2:21.600","+ 6.800","+ 1.200","","","","french-grand-prix",1952
"201","7","22","Peter Collins","Great Britain","HW Motors","","2:21.900","+ 7.100","+ 0.300","","","","french-grand-prix",1952
"202","8","6","Prince Bira","Thailand","Equipe Gordini","","2:23.000","+ 8.200","+ 1.100","","","","french-grand-prix",1952
"203","9","14","Louis Rosier","France","Ecurie Rosier","","2:27.000","+ 12.200","+ 4.000","","","","french-grand-prix",1952
"204","10","24","Yves Giraud-Cabantous","France","HW Motors","","2:27.500","+ 12.700","+ 0.500","","","","french-grand-prix",1952
"205","11","16","Emmanuel de Graffenried","Switzerland","Enrico Plate","","2:28.600","+ 13.800","+ 1.100","","","","french-grand-prix",1952
"206","12","18","Harry Schell","USA","Enrico Plate","","2:29.000","+ 14.200","+ 0.400","","","","french-grand-prix",1952
"207","13","26","Peter Whitehead","Great Britain","Peter Whitehead","","2:29.500","+ 14.700","+ 0.500","","","","french-grand-prix",1952
"208","14","20","Lance Macklin","Great Britain","HW Motors","","2:30.900","+ 16.100","+ 1.400","","","","french-grand-prix",1952
"209","15","42","Mike Hawthorn","Great Britain","Archie Bryde","","2:32.000","+ 17.200","+ 1.100","","","","french-grand-prix",1952
"210","16","28","Philippe Etancelin","France","Escuderia Bandeirantes","","2:33.700","+ 18.900","+ 1.700","","","","french-grand-prix",1952
"211","17","34","RudI Fischer","Switzerland","Ecurie Espadon","","2:34.600","+ 19.800","+ 0.900","","","","french-grand-prix",1952
"212","18","38","Franco Comotti","Italy","Scuderia Marzotto","","2:36.000","+ 21.200","+ 1.400","","","","french-grand-prix",1952
"213","19","40","Piero Carini","Italy","Scuderia Marzotto","","2:37.700","+ 22.900","+ 1.700","","","","french-grand-prix",1952
"214","20","32","Johnny Claes","Belgium","Ecurie Belge","","2:39.600","+ 24.800","+ 1.900","","","","french-grand-prix",1952
